Code,Nome,Nome fantasia,Governança
BNBR,BCO NORDESTE DO BRASIL S.A.,NORD BRASIL,-
BPAN,BCO PAN S.A.,BANCO PAN,N1
PINE,BCO PINE S.A.,PINE,N2
RBPT,BCO RIBEIRAO PRETO S/A,RIBEIRAOPRET,-
SANB,BCO SANTANDER (BRASIL) S.A.,SANTANDER BR,-
SFSA,BCO SOFISA S.A.,SOFISABM,-
BVKW,BCO VOLKSWAGEN S/A,VOLKSWAGENBM,-
ZXSZ,BCO VOTORANTIM S/A,VOTORANTIMBM,-
SCHI,BCV - BANCO DE CREDITO E VAREJO S/A,BCVBM,-
BDWP,BDWPART HOLDING E PARTICIPAÇÕES S.A,BDWPART HOLD,-
BEPK,BEACH PARK HOTEIS E TURISMO S/A,BEACH PARK,-
BELE,BELA LUNA EMPREENDIMENTOS IMOBILIARIOS S/A,BELA LUNA,-
BELA,BELAGRICOLA COMERCIO E REPRESENTACOES DE PRODUTOS,BELAGRICOLA,-
BBIO,BELEM BIOENERGIA BRASIL S/A,BELEMBIO,-
BMPS,BELMONTE II PARQUE SOLAR S.A.,BELMONTE II,-
BLMN,BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.,BELOMONTE,-
BMOB,BEMOBI MOBILE TECH S.A.,BEMOBI TECH,NM
